,nation,class,tier,prem,name,players,total battles,battles,win,draw,lose,exp,damagecaused,warshipdestroyed,aircraftdestoryed,basecapture,basedefense,survived,kill /death,agrodamage,spotdamage,hitratio
76,JP,CA,9,,Azuma,2975,37909,12.74,51.07,0.02,48.91,1608,72415,0.75,1.8,3.99,5.59,44.65,1.36,966250,16075,31.9
77,JP,CA,10,P,Yoshino,6829,100094,14.66,48.67,0.02,51.31,1566,74546,0.65,2.92,3.65,4.86,41.04,1.1,1106119,18997,29.86
78,JP,CA,10,,Zao,11249,169376,15.06,48.78,0.02,51.2,1640,71033,0.71,2.66,5.66,6.09,40.14,1.19,927508,21704,35.54
79,JP,CV,4,,Hosho,17703,185602,10.48,51.48,0.12,48.4,781,33696,0.89,3.17,1.72,12.42,61.62,2.32,125320,11860,0.0
80,JP,CV,4,,Hosho (old),21,683,32.52,57.69,1.32,41.0,880,49470,1.15,11.23,0.49,2.01,66.62,3.45,40458,9048,0.0
81,JP,CV,5,,Zuiho (old),18,524,29.11,47.9,1.15,50.95,870,44989,1.0,9.08,0.44,2.21,54.96,2.22,91889,16481,0.0
82,JP,CV,6,,Ryujo,11897,160278,13.47,51.8,0.08,48.12,1263,41175,0.83,3.62,0.7,12.27,71.1,2.87,120464,25955,0.0
83,JP,CV,6,,Ryujo (old),14,397,28.36,54.91,0.25,44.84,1132,39694,0.84,13.01,0.82,3.41,75.06,3.37,80839,32189,0.0
84,JP,CV,7,,Hiryu (old),7,241,34.43,57.26,0.0,42.74,1596,68545,1.4,17.16,0.97,5.35,78.84,6.62,96742,40388,0.0
85,JP,CV,7,P,Kaga (old),3,276,92.0,49.28,0.0,50.72,1364,60758,1.34,13.11,0.32,4.73,72.83,4.93,157616,51886,0.0
86,JP,CV,8,,Shokaku,6639,128751,19.39,50.75,0.04,49.21,1598,56538,0.91,4.0,0.7,11.74,74.65,3.59,190806,41819,0.0
87,JP,CV,8,,Shokaku (old),4,276,69.0,53.99,0.0,46.01,1564,65503,1.11,19.06,0.1,5.17,80.07,5.57,99471,58885,0.0
88,JP,CV,8,P,Kaga,5593,50561,9.04,50.02,0.02,49.96,1577,58075,0.78,3.55,0.44,11.22,71.45,2.73,196707,42625,0.0
89,JP,CV,9,,Taiho (old),4,185,46.25,49.73,0.0,50.27,1555,99616,1.4,13.46,0.58,7.33,79.46,6.82,238085,88055,0.0
90,JP,CV,10,,Hakuryu,4567,81880,17.93,51.63,0.02,48.35,1765,86361,1.01,4.95,0.66,10.15,76.25,4.25,281401,71325,0.0
91,JP,CV,10,,Hakuryu (old),2,50,25.0,42.0,0.0,58.0,1783,117601,1.7,12.68,0.28,10.24,74.0,6.54,299078,112662,0.0
92,JP,DD,2,,Umikaze,13767,39816,2.89,50.25,1.17,48.58,644,18079,1.12,0.0,6.34,5.45,29.77,1.59,168228,2268,45.98
93,JP,DD,2,P,Tachibana,694,1687,2.43,57.56,0.18,42.26,754,14179,0.97,0.0,11.66,7.3,34.56,1.48,143938,3252,39.92
94,JP,DD,2,P,Tachibana Lima,1602,4563,2.85,53.65,0.18,46.18,723,13788,0.9,0.0,10.36,6.73,30.22,1.29,147174,3027,40.18
95,JP,DD,3,,Wakatake,15396,60975,3.96,47.92,1.38,50.69,684,17608,0.75,0.06,10.05,3.24,18.75,0.92,195378,3692,48.45
96,JP,DD,4,,Isokaze,19664,143495,7.3,48.38,1.08,50.53,686,19007,0.73,0.29,13.06,2.68,19.59,0.91,220624,5749,40.12
97,JP,DD,5,,Minekaze,9176,76396,8.33,50.28,0.07,49.65,904,18627,0.58,0.12,21.66,3.37,23.62,0.76,260618,13132,45.17
98,JP,DD,5,,Mutsuki,13184,121204,9.19,47.91,0.06,52.03,835,16833,0.5,0.91,18.8,2.23,23.37,0.65,251864,12671,43.15
99,JP,DD,5,P,Fujin,1123,13459,11.98,62.1,0.01,37.89,1396,39715,1.32,0.02,32.46,4.21,41.03,2.24,243215,17309,49.13
100,JP,DD,5,P,Kamikaze,1419,15894,11.2,61.45,0.09,38.45,1362,38370,1.27,0.02,31.49,4.33,42.18,2.2,247303,17656,47.91
101,JP,DD,5,P,Kamikaze R,2077,28439,13.69,60.53,0.04,39.43,1330,38088,1.24,0.02,31.34,4.12,37.97,2.0,244341,16861,49.29
102,JP,DD,6,,Fubuki,12754,141522,11.1,47.9,0.05,52.04,979,20322,0.55,1.03,18.4,3.08,22.46,0.71,279975,14141,41.17
103,JP,DD,6,,Hatsuharu,7189,60282,8.39,50.21,0.04,49.74,1128,22613,0.62,1.64,23.57,4.75,26.39,0.84,312228,15463,45.82
104,JP,DD,6,,Mutsuki (old),9,336,37.33,47.32,1.19,51.49,1016,19863,0.52,0.22,7.15,1.08,33.93,0.79,83021,4866,41.05
105,JP,DD,6,P,Shinonome,4181,19717,4.72,54.76,0.02,45.22,1297,30402,0.91,0.03,27.43,5.51,29.98,1.3,293122,17322,49.01
106,JP,DD,7,,Akatsuki,12054,168018,13.94,48.78,0.03,51.18,1151,25176,0.61,1.01,22.42,3.83,24.12,0.8,314849,16936,42.0
107,JP,DD,7,,Hatsuharu (old),4,181,45.25,44.75,1.66,53.59,989,17001,0.48,0.26,3.65,1.02,37.02,0.76,67553,2742,36.94
108,JP,DD,7,,Shiratsuyu,6947,75516,10.87,51.26,0.02,48.72,1318,28748,0.71,0.55,27.07,5.06,29.72,1.01,324640,20985,45.61
109,JP,DD,7,P,Yudachi,3446,16096,4.67,49.33,0.02,50.65,1250,26159,0.54,0.14,21.76,4.04,30.27,0.77,325875,19038,42.11
110,JP,DD,8,,Akizuki,7749,108257,13.97,51.44,0.03,48.53,1645,40889,0.78,3.21,24.9,7.27,27.93,1.08,450631,19119,41.22
111,JP,DD,8,,Fubuki (old),2,351,175.5,49.57,2.85,47.58,1286,26988,0.52,0.14,4.86,0.56,35.9,0.81,34253,3459,37.75
112,JP,DD,8,,Kagero,9349,140840,15.06,48.35,0.03,51.62,1322,28896,0.61,0.65,26.64,3.67,26.78,0.83,340348,24579,45.46
113,JP,DD,8,P,AL Yukikaze,526,4251,8.08,54.2,0.0,45.8,1749,41219,0.99,0.89,37.36,5.15,37.21,1.58,370745,29065,48.57
114,JP,DD,8,P,Asashio,4226,77325,18.3,51.73,0.03,48.24,1572,50923,0.74,0.08,25.09,3.81,38.84,1.21,343389,27825,43.59
115,JP,DD,8,P,Asashio B,1547,19498,12.6,53.48,0.02,46.51,1646,54718,0.81,0.09,27.87,4.47,40.42,1.36,351986,29125,45.62
116,JP,DD,8,P,HSF Harekaze,2380,15438,6.49,51.7,0.01,48.3,1551,32329,0.72,1.93,30.53,5.9,29.37,1.02,361534,24875,46.22
117,JP,DD,9,,Kagero (old),2,314,157.0,51.59,2.23,46.18,1240,26586,0.56,0.12,9.8,0.28,50.64,1.13,125476,13199,40.75
118,JP,DD,9,,Kitakaze,7899,131159,16.6,51.8,0.02,48.19,1698,50329,0.86,1.78,29.33,7.57,31.3,1.25,477986,24579,41.13
119,JP,DD,9,,Yugumo,6940,135075,19.46,47.44,0.02,52.54,1377,36384,0.68,0.72,28.53,4.29,28.86,0.96,371646,29293,42.7
120,JP,DD,10,,Harugumo,8777,96856,11.04,49.24,0.01,50.75,1573,49266,0.68,2.54,24.42,5.87,25.76,0.92,554831,25789,36.67
121,JP,DD,10,,Hayate,499,6764,13.56,54.21,0.01,45.77,1819,52980,0.88,2.03,33.18,6.99,35.3,1.36,532079,37611,43.6
122,JP,DD,10,,Shimakaze,15057,361535,24.01,49.16,0.02,50.83,1472,42313,0.65,0.97,29.54,3.41,31.68,0.95,423204,38531,42.82
123,KM,BB,3,,Nassau,19309,102302,5.3,52.41,0.21,47.38,733,32522,1.23,0.07,6.93,12.74,41.58,2.11,417913,3166,33.01
124,KM,BB,3,P,Koenig Albert,1053,3502,3.33,59.05,0.06,40.89,888,35673,1.3,0.16,7.26,8.57,44.2,2.33,497080,4728,31.52
125,KM,BB,4,,Kaiser,18067,136972,7.58,50.88,0.24,48.88,810,36915,1.04,5.03,5.95,10.03,39.91,1.73,547577,4171,30.14
126,KM,BB,5,,Koenig,21143,237313,11.22,49.09,0.06,50.85,935,32735,0.64,2.35,3.48,4.61,35.87,1.0,730307,9443,24.65
127,KM,BB,6,,Bayern,16957,222967,13.15,49.17,0.06,50.78,1121,37544,0.65,2.47,3.58,4.14,35.36,1.01,847164,10573,26.14
128,KM,BB,6,P,Prinz Eitel Friedrich,6797,29362,4.32,55.42,0.05,44.54,1379,47890,0.95,4.51,5.15,5.38,34.95,1.46,973064,11928,31.6
129,KM,BB,7,,Gneisenau,17415,286331,16.44,49.63,0.04,50.33,1225,41190,0.64,3.45,3.78,3.54,29.81,0.91,993501,12871,28.09
130,KM,BB,7,P,Scharnhorst,19732,153805,7.79,51.22,0.03,48.75,1349,45565,0.74,2.48,4.12,4.98,31.13,1.07,985050,12727,27.68
131,KM,BB,7,P,Scharnhorst B,2737,19422,7.1,52.09,0.06,47.85,1518,49842,0.82,2.66,4.66,5.11,30.23,1.18,1020841,13090,29.15
132,KM,BB,8,,Bismarck,23846,438090,18.37,49.29,0.02,50.69,1376,51165,0.65,3.98,3.52,4.83,29.19,0.92,1159673,14959,27.69
133,KM,BB,8,P,Odin,2472,20381,8.24,51.3,0.04,48.66,1662,58582,0.81,4.89,5.01,5.72,30.81,1.17,1148140,17525,31.88
134,KM,BB,8,P,Tirpitz,20144,218999,10.87,49.03,0.03,50.94,1405,50601,0.66,3.28,3.3,4.49,27.44,0.91,1141331,14301,26.86
135,KM,BB,8,P,Tirpitz B,2223,21734,9.78,51.79,0.03,48.18,1535,56451,0.77,3.56,3.97,5.02,28.89,1.08,1177860,14848,28.02
136,KM,BB,9,,Friedrich der Grosse,11159,219900,19.71,47.9,0.02,52.08,1376,58655,0.64,2.0,3.15,4.56,29.38,0.91,1305727,18167,28.33
137,KM,BB,10,,Grosser Kurfuerst,18358,341897,18.62,49.94,0.02,50.04,1620,75241,0.73,3.18,3.01,4.01,29.28,1.03,1686482,22738,27.5
138,KM,CA,1,,Hermelin,22155,74179,3.35,50.1,1.18,48.72,843,12106,2.15,0.0,2.6,12.11,43.07,3.78,90294,510,42.99
139,KM,CA,2,,Dresden,25685,87736,3.42,49.94,0.89,49.17,683,19764,1.22,0.0,3.73,11.77,35.58,1.89,213874,1455,41.58
140,KM,CA,2,P,Emden,1642,6066,3.69,55.32,0.35,44.33,736,18581,1.09,0.0,4.59,11.67,38.43,1.77,223257,2051,35.34
141,KM,CA,3,,Kolberg,21593,90955,4.21,46.69,0.84,52.47,707,19362,0.83,0.0,6.1,9.42,23.01,1.08,265393,2748,37.92
142,KM,CA,4,,Karlsruhe,14640,91887,6.28,47.76,0.82,51.43,758,19430,0.69,0.23,5.73,7.12,19.59,0.86,310238,3997,36.25
143,KM,CA,5,,Koenigsberg,17521,181265,10.35,49.51,0.07,50.41,946,22182,0.52,1.05,3.55,4.9,18.91,0.64,414961,7215,26.86
144,KM,CA,6,,Nuernberg,15587,172228,11.05,48.21,0.06,51.72,1074,27056,0.51,1.6,3.52,5.58,21.98,0.65,470545,7893,25.9
145,KM,CA,6,P,Admiral Graf Spee,20442,105302,5.15,52.1,0.05,47.86,1105,29913,0.6,2.55,4.83,4.4,29.34,0.85,715234,11117,30.27
146,KM,CA,6,P,HSF Admiral Graf Spee,3001,13036,4.34,53.95,0.03,46.02,1203,34348,0.73,2.94,5.73,4.83,31.81,1.07,741082,11725,31.88
147,KM,CA,7,,Yorck,11362,136490,12.01,48.65,0.03,51.32,1271,33234,0.54,1.83,4.1,5.26,26.3,0.73,603975,10511,31.82
148,KM,CA,8,,Admiral Hipper,10119,142646,14.1,47.82,0.02,52.16,1363,36348,0.47,3.06,4.39,5.56,26.71,0.64,734558,12929,32.95
149,KM,CA,8,P,Mainz,4362,77438,17.75,52.88,0.03,47.09,1665,55215,0.75,3.82,4.62,7.32,32.62,1.11,725253,12083,29.07
150,KM,CA,8,P,Prinz Eugen,9948,56629,5.69,48.93,0.04,51.03,1328,35820,0.5,3.74,4.69,5.25,28.95,0.7,871788,14109,33.89
151,KM,CA,9,,Roon,6184,104702,16.93,48.03,0.01,51.96,1430,52173,0.55,1.52,4.48,6.8,37.77,0.88,913445,16660,32.88
152,KM,CA,9,,Aegir,2785,29376,10.55,51.82,0.01,48.17,1629,62875,0.74,2.5,5.49,5.03,33.38,1.11,1144426,20667,36.36
153,KM,CA,9,P,Siegfried,496,7942,16.01,57.81,0.0,42.19,1897,80234,1.01,2.51,6.04,5.84,39.11,1.66,1206635,24487,43.95
154,KM,CA,10,,Hindenburg,12572,194085,15.44,49.39,0.02,50.59,1745,75820,0.69,2.78,4.59,6.64,39.01,1.13,1143983,19817,31.02
155,KM,CV,8,P,Graf Zeppelin (old),3,41,13.67,58.54,0.0,41.46,1412,81907,1.1,11.29,0.0,2.15,82.93,6.44,262069,82287,0.0
156,KM,CV,8,P,Graf Zeppelin,4608,52512,11.4,49.5,0.03,50.46,1527,52369,0.77,4.67,1.02,9.95,60.23,1.94,328423,42280,0.0
157,KM,CV,8,P,Graf Zeppelin B,1471,12187,8.28,51.47,0.06,48.47,1615,54814,0.84,4.72,1.16,10.83,60.49,2.13,326564,43338,0.0
158,KM,DD,2,,V-25,11863,60266,5.08,52.3,0.94,46.76,640,18362,1.23,0.0,8.19,6.48,31.44,1.79,164957,2400,42.11
159,KM,DD,3,,G-101,10513,52172,4.96,48.4,1.21,50.39,663,17601,0.83,0.02,9.29,4.23,18.1,1.01,209991,3551,39.53
160,KM,DD,4,,V-170,9212,69016,7.49,49.24,0.86,49.9,636,18637,0.75,0.12,13.33,3.39,17.5,0.91,239043,5677,40.32
161,KM,DD,5,,T-22,9076,74968,8.26,47.21,0.05,52.74,838,13861,0.44,1.46,15.02,3.52,16.53,0.53,263282,11170,38.74
162,KM,DD,6,,Ernst Gaede,7207,59596,8.27,49.23,0.03,50.74,996,18830,0.54,1.05,18.26,4.13,19.85,0.67,364861,13004,43.77
163,KM,DD,6,P,T-61,6234,34557,5.54,55.94,0.04,44.03,1408,31153,0.92,1.28,26.59,6.18,31.34,1.34,346531,17568,46.18
164,KM,DD,7,,Leberecht Maass,4841,45565,9.41,50.01,0.04,49.94,1190,23006,0.58,1.03,23.09,5.01,22.25,0.75,402272,16431,43.58
165,KM,DD,7,P,Z-39,7201,29082,4.04,51.35,0.02,48.62,1308,26139,0.64,1.48,24.53,5.2,27.86,0.89,427765,18884,46.79
166,KM,DD,8,,Z-23,4338,49674,11.45,48.14,0.04,51.82,1337,25685,0.53,1.39,27.95,4.98,23.28,0.69,446759,21702,46.87
167,KM,DD,9,,Z-46,2751,44092,16.03,48.53,0.01,51.46,1469,34373,0.64,1.23,32.11,6.37,26.81,0.87,465258,27053,46.01
168,KM,DD,10,,Z-52,5014,55652,11.1,48.98,0.02,51.0,1572,34588,0.56,2.52,35.19,5.81,25.79,0.75,514350,35126,45.11
169,MN,BB,3,,Turenne,5854,23038,3.94,50.46,0.15,49.39,689,27143,0.91,0.03,5.99,8.44,37.18,1.45,433585,3793,30.04
170,MN,BB,4,,Courbet,5431,30729,5.66,48.12,0.19,51.68,756,32713,0.85,2.31,4.68,7.38,33.02,1.27,516625,4232,25.9
171,MN,BB,5,,Bretagne,7014,55296,7.88,48.42,0.06,51.51,975,34288,0.67,2.22,3.08,4.59,33.6,1.01,656802,8244,25.08
172,MN,BB,6,,Normandie,7182,69618,9.69,51.23,0.05,48.72,1139,45345,0.82,1.07,3.93,5.12,37.32,1.31,881525,10339,25.19
173,MN,BB,6,P,Dunkerque,10638,63884,6.01,51.16,0.05,48.79,1150,43630,0.75,2.72,4.15,4.1,30.1,1.07,876909,10083,27.81
174,MN,BB,7,,Lyon,8401,101141,12.04,50.82,0.03,49.15,1290,51750,0.82,3.08,3.47,5.07,37.88,1.32,902901,11741,24.28
175,MN,BB,8,,Richelieu,6942,101063,14.56,50.64,0.02,49.34,1442,59105,0.74,4.38,4.44,4.53,30.47,1.06,1208310,14760,29.99
176,MN,BB,8,P,Champagne,67,214,3.19,54.67,0.0,45.33,1952,84216,0.96,2.4,3.13,6.85,50.93,1.96,1002916,15257,35.78
177,MN,BB,8,P,Gascogne,2205,15026,6.81,50.29,0.03,49.67,1509,56895,0.71,3.82,3.81,4.8,34.59,1.09,1200896,15507,28.35
178,MN,BB,9,,Alsace,5931,105688,17.82,49.16,0.02,50.82,1440,69152,0.78,2.46,4.05,5.27,31.11,1.13,1328658,18895,28.28
179,MN,BB,9,P,Jean Bart,11613,244361,21.04,52.8,0.01,47.19,1768,84011,0.97,2.97,4.96,5.21,33.47,1.46,1321458,17322,32.62
180,MN,BB,10,P,Bourgogne,1368,20931,15.3,58.43,0.01,41.56,2202,114923,1.16,3.87,4.42,5.3,44.68,2.1,1546409,23702,29.3
181,MN,BB,10,,Republique,8476,115498,13.63,49.36,0.02,50.63,1642,85816,0.8,3.08,2.75,4.36,35.4,1.24,1530190,19507,27.77
182,MN,CA,1,,Bougainville,3409,6334,1.86,55.38,0.76,43.86,841,10809,1.93,0.0,2.12,8.85,42.0,3.33,78441,675,44.41
183,MN,CA,2,,Jurien de la Graviere,6223,15038,2.42,51.9,0.51,47.59,666,18726,1.07,0.0,4.29,10.55,35.03,1.65,215994,1930,40.44
184,MN,CA,3,,Friant,8010,33457,4.18,50.6,0.41,48.99,693,21819,0.91,0.37,5.71,6.95,22.37,1.17,279406,3127,34.34
185,MN,CA,4,,Duguay-Trouin,6403,36837,5.75,51.36,0.43,48.22,737,23826,0.8,1.66,5.17,6.61,20.42,1.01,356578,4250,32.97
186,MN,CA,5,,emile Bertin,8417,65224,7.75,51.3,0.06,48.63,939,23101,0.56,2.17,5.12,5.51,20.92,0.71,497827,8625,31.39
187,MN,CA,6,,La Galissonniere,7724,62793,8.13,49.88,0.07,50.06,1078,28760,0.58,2.29,4.39,5.96,21.89,0.74,540608,8530,29.75
188,MN,CA,6,P,De Grasse,3924,18851,4.8,50.73,0.06,49.21,1185,31360,0.66,2.43,4.98,6.58,23.82,0.87,574331,9133,29.21
189,MN,CA,7,,Algerie,6449,56526,8.77,49.2,0.04,50.77,1223,36976,0.57,1.74,4.19,6.05,26.83,0.78,615826,10345,30.33
190,MN,CA,8,,Charles Martel,5458,64010,11.73,50.18,0.03,49.79,1436,47249,0.62,2.75,5.41,6.15,28.39,0.87,706282,13089,32.72
191,MN,CA,8,P,Bayard,4260,28178,6.61,51.28,0.03,48.69,1580,48717,0.68,3.37,5.6,6.57,29.05,0.96,671418,12194,29.2
192,MN,CA,9,,Saint-Louis,3158,45207,14.32,48.47,0.02,51.52,1458,56809,0.62,1.73,5.08,6.39,33.41,0.93,848942,15498,32.32
193,MN,CA,10,P,Colbert,1170,22747,19.44,51.02,0.01,48.97,1816,72622,0.83,4.0,8.27,7.31,41.57,1.42,924031,17513,24.42
194,MN,CA,10,,Henri IV,5681,53340,9.39,48.88,0.01,51.11,1694,75412,0.7,2.73,4.4,5.75,37.75,1.12,1222932,20264,31.87
195,MN,DD,2,,Enseigne Gabolde,3105,7542,2.43,51.86,0.52,47.63,657,15762,0.99,0.0,8.06,6.73,28.32,1.38,167720,2543,44.09
196,MN,DD,3,,Fusilier,3419,13066,3.82,52.64,0.43,46.93,717,18136,0.8,0.02,12.41,6.66,21.42,1.02,228357,4504,44.29
197,MN,DD,4,,Bourrasque,3225,17447,5.41,52.39,0.49,47.12,746,21361,0.84,0.22,13.69,6.0,21.59,1.07,277936,6191,42.74
198,MN,DD,5,,Jaguar,5007,30649,6.12,51.28,0.04,48.68,956,21480,0.68,0.21,14.81,5.71,22.16,0.87,359761,12369,39.35
199,MN,DD,5,P,Siroco,1047,3376,3.22,51.69,0.03,48.28,1045,21076,0.69,0.11,17.33,5.63,24.53,0.91,344738,13534,42.9
200,MN,DD,6,,Guepard,5611,36193,6.45,51.12,0.04,48.84,1134,23896,0.67,0.55,15.13,5.93,20.9,0.85,424818,13780,38.85
201,MN,DD,6,P,Aigle,6946,40709,5.86,50.03,0.05,49.91,1009,21942,0.58,0.53,17.9,4.78,22.26,0.75,379724,12410,38.64
202,MN,DD,7,,Vauquelin,4137,36933,8.93,52.05,0.03,47.92,1357,27737,0.72,0.46,20.63,6.61,23.23,0.94,460480,18247,39.95
203,MN,DD,8,,Le Fantasque,3242,43045,13.28,51.11,0.03,48.86,1548,32694,0.7,1.66,24.29,6.44,23.17,0.91,538023,22875,45.32
204,MN,DD,8,P,Le Terrible,2327,15724,6.76,50.6,0.04,49.36,1469,30861,0.67,0.46,21.17,5.65,22.69,0.87,558051,21994,44.02
205,MN,DD,9,,Mogador,2642,46677,17.67,50.9,0.01,49.09,1611,43826,0.79,1.01,25.02,7.46,26.57,1.08,657962,26526,44.04
206,MN,DD,10,,Kleber,3867,44072,11.4,52.56,0.03,47.41,1731,52252,0.79,2.26,23.75,7.03,29.89,1.13,823901,33496,41.52
207,MN,DD,10,P,Marceau,1636,34228,20.92,53.62,0.01,46.36,1755,51134,0.82,4.44,28.64,7.57,32.75,1.22,798360,36299,35.1
208,PA,BB,9,P,Bajie,856,5868,6.86,52.39,0.02,47.6,1735,76346,0.83,1.74,3.18,4.21,38.91,1.36,1299227,18540,30.32
209,PA,CA,1,,Chengan,2405,5958,2.48,54.16,0.64,45.2,700,9076,1.59,0.0,4.23,9.95,43.22,2.8,78011,1073,41.62
210,PA,CA,6,P,Huanghe,3879,20148,5.19,52.04,0.07,47.89,1215,28710,0.66,4.4,10.53,7.14,27.25,0.91,456198,9630,38.88
211,PA,CA,8,P,Irian,2138,20279,9.49,51.3,0.02,48.68,1534,49302,0.69,3.46,4.57,6.29,29.3,0.98,665608,11962,29.27
212,PA,CA,8,P,Wukong,369,1478,4.01,50.74,0.14,49.12,1451,43023,0.58,2.62,4.93,5.33,26.05,0.78,687878,12428,31.3
213,PA,DD,2,,Longjiang,4217,15347,3.64,50.48,0.72,48.8,638,15920,0.91,0.0,8.27,6.93,32.63,1.35,159770,2672,43.03
214,PA,DD,3,,Phra Ruang,4160,15587,3.75,49.2,0.65,50.14,664,17547,0.72,0.5,14.34,4.44,24.13,0.95,208351,4845,44.47
215,PA,DD,4,,Shenyang,4353,27791,6.38,53.0,0.47,46.53,761,24343,0.91,0.81,17.43,5.31,24.26,1.2,237505,6244,47.56
216,PA,DD,5,,Jianwei,4625,30440,6.58,49.14,0.06,50.8,879,18012,0.53,0.27,18.16,4.43,20.0,0.66,291178,11401,40.97
