,nation,class,tier,prem,name,players,total battles,battles,win,draw,lose,exp,damagecaused,warshipdestroyed,aircraftdestoryed,basecapture,basedefense,survived,kill /death,agrodamage,spotdamage,hitratio
404,US,CV,8,P,Enterprise (old),5,131,26.2,64.89,0.0,35.11,1857,77619,1.49,21.08,0.07,4.85,87.02,11.48,137364,98962,0.0
405,US,CV,8,,Lexington,9184,180643,19.67,48.61,0.03,51.36,1469,51371,0.77,4.37,0.45,11.21,68.71,2.46,229165,38833,0.0
406,US,CV,8,,Lexington (old),3,156,52.0,42.95,7.69,49.36,1097,49537,0.77,26.15,0.0,0.51,55.13,1.72,51621,9531,0.0
407,US,CV,8,P,Enterprise,2956,31759,10.74,58.12,0.04,41.84,1977,67928,1.23,6.21,0.91,15.05,77.82,5.55,219865,45006,0.0
408,US,CV,8,P,Saipan,2709,22342,8.25,48.34,0.07,51.59,1527,52896,0.76,3.97,0.6,10.47,72.43,2.76,205601,38486,0.0
409,US,CV,9,,Essex (old),3,230,76.67,50.0,1.74,48.26,1183,92592,1.29,16.59,0.0,1.15,65.22,3.71,38339,10341,0.0
410,US,CV,10,,Midway,6013,108854,18.1,48.63,0.01,51.36,1742,76747,0.89,5.01,0.56,12.53,73.47,3.35,316008,66210,0.0
411,US,CV,10,,Midway (old),3,159,53.0,49.69,0.63,49.69,1986,141047,1.82,13.21,0.09,3.82,83.02,10.72,189645,84793,0.0
412,US,DD,2,,Sampson,22472,68042,3.03,49.58,1.5,48.92,705,19562,1.23,0.0,4.27,5.82,26.6,1.68,169439,1738,49.35
413,US,DD,2,P,Smith,24391,84570,3.47,44.91,1.75,53.34,664,15846,0.99,0.0,3.87,5.24,22.86,1.28,159697,1591,47.78
414,US,DD,3,,Wickes,27328,135130,4.94,48.4,1.57,50.03,694,19152,0.9,0.04,7.82,3.55,15.8,1.07,187710,2953,46.95
415,US,DD,4,,Clemson,32163,260682,8.11,49.51,1.52,48.96,717,21107,0.89,0.13,11.49,3.85,17.27,1.08,230713,4677,45.78
416,US,DD,5,,Nicholas,20765,186895,9.0,47.69,0.06,52.25,817,12662,0.42,1.33,12.93,3.03,13.78,0.49,278413,9589,37.53
417,US,DD,5,P,Hill,1855,8569,4.62,55.29,0.04,44.67,1197,24434,0.8,2.12,21.59,6.23,25.57,1.07,316196,11462,42.41
418,US,DD,6,,Farragut,14179,137144,9.67,48.34,0.05,51.61,972,15403,0.44,1.21,16.71,3.85,17.48,0.53,337822,11032,35.37
419,US,DD,6,P,Monaghan,3389,12885,3.8,51.73,0.09,48.17,1136,21432,0.61,2.28,20.39,3.71,24.91,0.81,357711,14683,39.53
420,US,DD,7,,Mahan,11335,136245,12.02,47.66,0.04,52.31,1182,19248,0.47,0.75,20.59,4.46,19.64,0.58,362664,14433,36.71
421,US,DD,7,P,Sims,5309,34562,6.51,49.87,0.04,50.09,1295,20863,0.51,1.76,23.62,5.46,25.99,0.69,393913,16906,36.27
422,US,DD,7,P,Sims B,1243,5782,4.65,51.75,0.02,48.24,1429,22976,0.56,1.82,26.41,6.2,26.6,0.76,394746,17326,38.93
423,US,DD,8,,Benson,9704,145239,14.97,47.61,0.03,52.35,1277,23184,0.49,1.87,26.72,4.86,23.05,0.64,417368,19989,39.82
424,US,DD,8,P,Kidd,6516,42243,6.48,50.91,0.03,49.06,1484,25569,0.57,5.11,29.7,6.43,31.44,0.83,505536,21753,39.84
425,US,DD,9,,Fletcher,9276,169258,18.25,47.5,0.01,52.49,1355,32125,0.6,1.39,29.25,5.17,25.95,0.81,420511,25436,38.07
426,US,DD,9,P,Benham,3280,55932,17.05,55.07,0.02,44.91,1781,49828,0.95,0.75,37.24,5.68,40.05,1.58,429640,34999,39.33
427,US,DD,9,P,Black,1902,20520,10.79,54.53,0.01,45.45,1693,41620,0.83,1.45,38.97,8.6,38.59,1.35,443276,31963,40.86
428,US,DD,10,,Gearing,12716,244418,19.22,48.06,0.02,51.92,1465,37903,0.55,1.78,28.72,4.61,26.6,0.75,444737,31360,38.1
429,US,DD,10,P,Somers,1387,25161,18.14,54.49,0.01,45.5,1765,56785,0.84,0.15,38.85,5.76,43.2,1.48,459388,44623,41.94
