,Player,Battles,Rank,Win rate,Avg. frags,Avg. damage
277,Lego_Party_Australia,42,9,57.14%,0.88,51 490
277,Zwebs,21,11,57.14%,0.38,79 132
277,Cody_The_Destroyer,14,10,57.14%,1.14,94 913
277,lemonjello_1,28,10,57.14%,0.61,69 476
277,EverettWV,14,8,57.14%,1.21,56 063
277,UnRipe,14,9,57.14%,1.21,113 130
277,crap_apple,35,9,57.14%,0.74,48 748
277,Hyperuranion,14,10,57.14%,1.07,141 879
277,EyeDeeTenTango,21,12,57.14%,1.24,84 582
277,BB63Hawaii,14,9,57.14%,0.79,91 824
277,BISCMARK_1,14,10,57.14%,1.0,94 297
277,t_y_c_h_o_b_r_a_h_e,14,10,57.14%,0.36,102 293
277,anybigpapa94,14,10,57.14%,0.93,83 822
277,Nazhilite,21,11,57.14%,0.9,138 605
277,marcosjavi77,14,12,57.14%,0.36,54 712
277,Angel_of_the_Sea,14,11,57.14%,0.64,90 221
277,Skeppy_BB,14,12,57.14%,1.07,100 771
277,maximus_1452,21,10,57.14%,0.81,52 455
277,Arkeee,21,11,57.14%,0.62,123 039
277,Lammarck,14,10,57.14%,0.93,111 426
277,RearADM_Air_Biscuit,14,13,57.14%,0.57,66 223
277,TST_O_CaverA,14,10,57.14%,0.43,52 721
305,LastGunslinger49,51,9,56.86%,0.41,68 232
306,Cykyl,30,9,56.67%,0.83,93 253
306,OKADA_,30,10,56.67%,0.97,94 552
306,ARiEsLi,30,8,56.67%,0.53,48 064
306,TheHurricane99,30,9,56.67%,0.97,98 427
310,TheMitchMan123,23,10,56.52%,0.52,69 304
310,SGHM,23,10,56.52%,1.0,117 347
310,TheOneReign,23,10,56.52%,0.74,88 448
313,xSCHWANx,55,9,56.36%,0.67,64 405
314,Deathwolf958,16,10,56.25%,0.62,73 516
314,gatorken,16,11,56.25%,0.69,63 088
314,ruthven85,16,13,56.25%,0.75,77 213
314,elef,16,10,56.25%,1.12,82 480
314,Zilwigie,16,12,56.25%,0.44,100 797
314,EvelAye,16,11,56.25%,0.25,45 381
314,BAP_Almirante_Grau_CLM81,16,10,56.25%,0.56,82 689
314,xMatu,16,11,56.25%,0.5,54 329
314,_DeathRow_,32,8,56.25%,0.59,74 067
314,Ikarus_Queen,16,10,56.25%,0.44,75 294
314,longyuzhou,32,9,56.25%,0.38,100 685
314,MaxcimusDecimusMeridius,16,15,56.25%,0.62,65 685
314,SternBonk,16,9,56.25%,0.56,104 742
314,Salem_Bro,16,10,56.25%,0.56,75 953
314,Siegfried_Scourge,16,10,56.25%,0.75,62 831
314,contag10n,16,11,56.25%,0.69,87 640
314,1036383286,16,10,56.25%,0.5,76 952
314,Bismarckuit,16,10,56.25%,0.56,68 034
332,yangtft,25,8,56%,0.92,98 235
332,_Alemao_,25,10,56%,0.6,57 762
332,Davy6970,25,16,56%,0.6,40 668
332,Akeno017,25,11,56%,1.16,100 274
332,MANCO_PRO,25,9,56%,0.72,104 260
337,Admiral_Tester,34,8,55.88%,1.32,117 489
337,Pastern_,34,8,55.88%,0.76,68 225
339,jscover,18,11,55.56%,0.5,102 572
339,BarronRichthofen,18,11,55.56%,0.61,52 691
339,MonkeyArms,18,10,55.56%,0.89,97 425
339,Quacken99,36,10,55.56%,0.81,102 830
339,grunter_2014,18,10,55.56%,0.39,56 034
339,bullgod31313,18,11,55.56%,0.39,84 465
339,M00N707,18,10,55.56%,1.28,118 275
339,InDecay,18,9,55.56%,1.06,89 991
339,M1keybeast6666,27,9,55.56%,0.78,101 829
339,ItzPrimeTyme,18,10,55.56%,0.56,75 849
339,jimijester62,18,10,55.56%,0.56,83 301
339,You_Gagged_On_It,18,10,55.56%,0.72,73 447
339,HMS_Popeye,18,9,55.56%,0.83,68 140
339,EnsignRicky,18,10,55.56%,0.28,62 587
339,TAEGUU_TV,18,10,55.56%,1.06,87 624
339,BACK2PORTBOI,18,10,55.56%,0.78,101 275
339,NightmareOfSeas666,54,9,55.56%,0.57,44 511
356,Stradivarious,29,10,55.17%,0.79,83 639
356,pinnacle91,29,9,55.17%,0.34,86 714
356,gregoire_bo,29,9,55.17%,0.62,35 859
356,RedScarab,29,9,55.17%,0.97,75 280
356,alphalink11,29,10,55.17%,0.55,55 122
356,597733241,29,10,55.17%,0.69,69 893
356,Tattoo0410,29,8,55.17%,0.93,113 666
363,Max_Strayer,49,9,55.1%,0.39,44 690
364,kaelthus,20,10,55%,0.5,82 502
364,2FKNBAD,20,10,55%,0.75,65 151
364,raxsavvage,20,10,55%,0.4,33 693
364,Renatoctti04,20,10,55%,0.5,60 791
364,__Kain__,20,9,55%,0.85,88 668
369,arimatea_centinela,31,9,54.84%,0.84,63 751
369,The_GarbagePail_Kid,31,9,54.84%,0.68,75 757
369,Inter_Poa,31,10,54.84%,0.65,65 061
372,Lobo4u,22,15,54.55%,1.18,94 451
372,zouqingxing1987,33,8,54.55%,0.64,97 761
372,Aeruthael,22,12,54.55%,0.86,104 397
372,CV_Overpowered,22,11,54.55%,0.77,92 302
372,mctanknspank,22,10,54.55%,0.55,73 139
372,ilsolomon538,22,11,54.55%,0.68,89 002
372,YuukiAsuna930,33,8,54.55%,1.03,78 919
372,nickmdp,22,10,54.55%,0.5,108 508
380,csheepf,46,9,54.35%,0.48,63 794
381,Puercotron,35,11,54.29%,0.97,76 234
382,PicRic21,59,8,54.24%,0.97,98 734
383,JAFFA_KREE,24,11,54.17%,0.75,89 470
383,TBNRstorm,24,10,54.17%,0.58,95 809
383,meSuper3,24,10,54.17%,0.62,97 228
383,Pollitosincausa,24,10,54.17%,0.83,94 901
383,Chester07_2019,24,11,54.17%,0.88,83 317
388,Duntime,26,10,53.85%,0.46,83 869
388,TheShocker2_1,26,11,53.85%,0.81,76 130
388,NakiriAyamee,26,9,53.85%,0.5,99 639
388,Silver_kun,39,9,53.85%,0.59,80 315
388,DeuceOfClubs,39,10,53.85%,0.51,42 416
393,xXBOOMYXx25,69,6,53.62%,0.94,92 379
394,RichJones,28,11,53.57%,0.43,40 684
394,Bill_Butcher_1,28,9,53.57%,0.61,58 891
396,zombiekiller,15,13,53.33%,0.53,97 685
396,gatthew,15,10,53.33%,1.07,124 503
396,SootierSton,15,11,53.33%,0.47,99 616
396,1DeathStalker3,15,10,53.33%,0.4,59 337
396,saleen37804,15,10,53.33%,1.07,82 475
396,Meta_Man,15,10,53.33%,0.73,48 930
396,Sir_Tony_Robinson,15,11,53.33%,0.73,64 524
396,Observador555,15,10,53.33%,1.2,111 091
396,tanklesss,15,11,53.33%,0.2,36 739
396,Yamamoto_Genrysai,15,10,53.33%,1.0,95 675
396,LROD82,15,10,53.33%,0.6,39 111
396,DrZiot,15,12,53.33%,1.0,95 206
396,BowBonk,15,10,53.33%,0.8,106 900
396,_SIava_,30,9,53.33%,1.1,122 345
396,Yoshii_,15,10,53.33%,1.73,128 611
396,Shenennigans,15,13,53.33%,0.73,79 435
396,Iggy486,15,12,53.33%,0.6,88 337
396,Gemlin,15,10,53.33%,1.2,95 375
396,Ado1fCarsar,15,10,53.33%,1.0,113 296
396,Captain__CoCo,15,11,53.33%,0.27,34 750
396,Kisekimo_Mahomo_Arundayo,15,11,53.33%,0.87,95 393
417,bajhozero,32,10,53.13%,0.66,70 122
