,Player,Battles,Rank,Win rate,Avg. frags,Avg. damage
830,carlos123_cr,20,12,40%,0.25,49 882
830,RogerFF,20,12,40%,0.8,95 159
853,Thalaron,43,10,39.53%,0.98,81 492
854,whitey_2019,28,13,39.29%,0.39,44 283
855,datanka,23,13,39.13%,0.22,43 170
855,BlackPanther1234,23,11,39.13%,0.48,80 015
855,crazyhusky,23,10,39.13%,0.61,98 515
855,George_Mcpherson,23,11,39.13%,0.61,78 068
855,Whimpapa,23,14,39.13%,0.3,40 809
860,9clock,18,12,38.89%,0.94,59 169
860,Akizuki_Kai,18,10,38.89%,1.17,60 892
860,Max_Carnage0,36,11,38.89%,0.53,70 862
863,struha,31,11,38.71%,0.52,50 327
863,YouNgTWelv3,31,11,38.71%,0.87,119 393
865,detoniors1,26,14,38.46%,0.92,110 711
865,lh47383,26,10,38.46%,0.58,66 679
865,PJ_Knox,26,12,38.46%,0.58,60 065
865,DeagleX,26,12,38.46%,0.46,72 393
869,Ryujo_boingboing,34,11,38.24%,0.97,101 583
870,Gen_Seanski,21,11,38.1%,0.38,91 702
870,23Pair,21,13,38.1%,0.62,58 695
870,Deep6Horizion,21,11,38.1%,0.19,58 204
870,gghdao,21,12,38.1%,0.67,70 136
870,ArmedeLeFrog,21,10,38.1%,1.19,139 562
875,Jaaag,16,12,37.5%,0.81,62 444
875,Chaosdemon4444,16,14,37.5%,1.06,133 360
875,TokoyamiTowa,16,14,37.5%,1.38,146 168
875,overwatch23456,48,11,37.5%,0.73,93 692
875,bunwalker,16,15,37.5%,0.5,31 235
875,SuperCong,16,10,37.5%,0.62,80 965
875,Buckeyes1One,32,13,37.5%,0.34,29 854
875,mrunknowncomes,16,10,37.5%,0.69,58 974
875,StereoSteve,16,13,37.5%,0.31,64 246
884,Violence_Magic_Frog,27,11,37.04%,1.0,81 274
885,Jaag_Jaff,19,12,36.84%,0.37,50 041
885,Robert45_destroyer,19,12,36.84%,1.21,128 337
885,Admiral_Gloval,19,11,36.84%,0.89,79 126
885,wagnerferraz,19,15,36.84%,0.21,23 928
885,Wobulator,19,10,36.84%,0.68,82 090
885,Grendel_13,19,15,36.84%,0.89,70 062
885,MalcadorHuff,19,15,36.84%,0.47,67 853
892,hellclan,22,12,36.36%,0.36,69 078
892,deadcannon,22,15,36.36%,0.23,40 584
892,arch4random,33,12,36.36%,0.24,53 759
892,Capt_MoeHunglow,22,12,36.36%,0.64,63 281
892,Kathar1969,22,11,36.36%,0.45,68 044
897,Lojack1934,25,12,36%,0.56,80 459
897,CASXCA,25,11,36%,1.0,95 715
897,romero_42,25,11,36%,0.48,80 598
897,DocSniper_1,25,12,36%,0.48,47 395
