,Player,Battles,Rank,Win rate,Avg. frags,Avg. damage
695,Crispy_Cornflake,19,12,42.11%,1.21,71 291
695,QSubzero,19,12,42.11%,0.37,38 939
695,AngelsPlaymate,19,10,42.11%,0.63,50 798
695,USS_BB61_Iowa,19,10,42.11%,0.79,86 930
695,vshzR,19,10,42.11%,0.95,103 553
695,Jussie_Smolensk,19,11,42.11%,0.53,86 768
695,shurrock3,19,11,42.11%,0.58,107 492
702,REIGN797,31,12,41.94%,0.58,89 696
703,spanishmistery,24,11,41.67%,0.58,75 738
703,paulobite,24,13,41.67%,0.25,37 702
703,Telo_23,24,10,41.67%,0.54,61 966
703,Crabtimus_Prime,24,11,41.67%,0.83,75 118
703,Th3GuiltySpark,24,12,41.67%,0.71,61 799
703,MassiveSalvo,24,12,41.67%,0.46,65 909
709,tatucarreta,41,10,41.46%,0.68,110 514
710,cletuz,17,10,41.18%,0.76,71 787
710,ye_yo,17,11,41.18%,0.88,78 745
710,EBTANK,17,15,41.18%,0.18,29 906
710,bismark27,17,12,41.18%,0.76,112 537
710,Jono_oh,17,11,41.18%,0.41,50 846
710,gerden_battle,17,12,41.18%,0.76,89 415
710,D1217,17,14,41.18%,0.41,32 984
710,ChArisArDx,34,14,41.18%,0.59,128 621
710,MotoGP_46,17,13,41.18%,0.88,93 659
710,KuroganeSekiro,17,16,41.18%,0.65,121 813
710,HailDarkside,17,12,41.18%,0.65,58 453
721,fivejay,22,10,40.91%,0.91,83 095
721,SgtD_Old_Monkeyshine,22,12,40.91%,0.77,77 364
721,Quindo26,22,12,40.91%,0.59,55 226
721,Nacho71AR,22,10,40.91%,0.32,58 179
725,phriendly,32,10,40.63%,0.72,38 042
726,Shape5,42,12,40.48%,0.48,48 567
727,MACSWHARLE,52,12,40.38%,0.65,48 249
728,Throws_Games,15,14,40%,0.47,60 989
728,Vorl,15,14,40%,0.67,54 834
728,MadMarineHays,15,10,40%,0.67,38 870
728,mgc320,20,11,40%,0.5,59 783
728,Bismillah,20,12,40%,0.85,61 670
728,scarecrow_2015,45,12,40%,0.4,36 420
728,Desidiuz,15,15,40%,0.47,72 093
728,Ghosteval_69,15,12,40%,0.93,71 781
728,Thierry__L,15,15,40%,0.07,21 180
728,overwatch23456,40,12,40%,0.78,92 641
728,Waldo_Faldo,15,12,40%,0.27,47 612
728,XGamerKemp,35,11,40%,0.54,59 020
728,IJN_Chokai,20,14,40%,1.0,104 329
728,White_Give,20,11,40%,0.95,109 478
728,sharkattack233,20,13,40%,1.05,106 763
728,DarlingInTheYamato,15,10,40%,0.87,104 855
728,Pablo_M_G,15,11,40%,0.53,58 072
728,SuperHeroAurum,25,12,40%,0.44,71 539
728,BR_DVD,20,15,40%,0.5,56 467
728,WeiyuAnne,15,10,40%,0.8,86 405
728,carlos123_cr,20,12,40%,0.25,49 882
728,RogerFF,20,12,40%,0.8,95 159
750,Thalaron,43,10,39.53%,0.98,81 492
751,whitey_2019,28,13,39.29%,0.39,44 283
752,datanka,23,13,39.13%,0.22,43 170
752,BlackPanther1234,23,11,39.13%,0.48,80 015
752,crazyhusky,23,10,39.13%,0.61,98 515
752,George_Mcpherson,23,11,39.13%,0.61,78 068
752,Whimpapa,23,14,39.13%,0.3,40 809
757,9clock,18,12,38.89%,0.94,59 169
757,Akizuki_Kai,18,10,38.89%,1.17,60 892
757,Max_Carnage0,36,11,38.89%,0.53,70 862
760,struha,31,11,38.71%,0.52,50 327
761,detoniors1,26,14,38.46%,0.92,110 711
761,lh47383,26,10,38.46%,0.58,66 679
761,PJ_Knox,26,12,38.46%,0.58,60 065
761,DeagleX,26,12,38.46%,0.46,72 393
765,Ryujo_boingboing,34,11,38.24%,0.97,101 583
766,23Pair,21,13,38.1%,0.62,58 695
766,Deep6Horizion,21,11,38.1%,0.19,58 204
766,ArmedeLeFrog,21,10,38.1%,1.19,139 562
769,Chaosdemon4444,16,14,37.5%,1.06,133 360
769,TokoyamiTowa,16,14,37.5%,1.38,146 168
769,bunwalker,16,15,37.5%,0.5,31 235
769,YODAKILLUIDID,16,14,37.5%,0.69,49 088
769,SuperCong,16,10,37.5%,0.62,80 965
769,Buckeyes1One,32,13,37.5%,0.34,29 854
769,mrunknowncomes,16,10,37.5%,0.69,58 974
776,Violence_Magic_Frog,27,11,37.04%,1.0,81 274
777,Jaag_Jaff,19,12,36.84%,0.37,50 041
777,Robert45_destroyer,19,12,36.84%,1.21,128 337
777,Admiral_Gloval,19,11,36.84%,0.89,79 126
777,wagnerferraz,19,15,36.84%,0.21,23 928
777,Wobulator,19,10,36.84%,0.68,82 090
777,Grendel_13,19,15,36.84%,0.89,70 062
777,MalcadorHuff,19,15,36.84%,0.47,67 853
784,hellclan,22,12,36.36%,0.36,69 078
784,deadcannon,22,15,36.36%,0.23,40 584
784,arch4random,33,12,36.36%,0.24,53 759
784,Capt_MoeHunglow,22,12,36.36%,0.64,63 281
784,Kathar1969,22,11,36.36%,0.45,68 044
789,Lojack1934,25,12,36%,0.56,80 459
789,CASXCA,25,11,36%,1.0,95 715
789,romero_42,25,11,36%,0.48,80 598
789,DocSniper_1,25,12,36%,0.48,47 395
793,RG_Johnde,14,15,35.71%,0.21,25 732
793,IrritatedRhino,14,13,35.71%,0.64,69 908
793,turncoat311,14,10,35.71%,0.93,85 351
793,WarShipUnion,14,11,35.71%,1.21,72 714
793,PlanetHodags,14,10,35.71%,1.0,66 151
793,BigRed75N,28,14,35.71%,0.18,21 918
793,CHIVA_ELECTRICA,14,14,35.71%,0.5,73 738
793,GK_Fanboy,14,13,35.71%,0.71,114 569
793,Sparkle94,14,12,35.71%,0.79,123 983
802,PEARL_Necklace,17,11,35.29%,0.59,61 873
802,Bull6212,17,12,35.29%,0.41,77 113
802,Gallactica,17,11,35.29%,0.65,83 271
802,Wortham1,17,11,35.29%,1.18,96 991
